word,weight
shirebrook,0.0
sinjar,1.0
sowell,0.0
yellow,5.0
narcotic,2.0
jihad,-4.0
railing,2.0
cyprus,2.0
aggression,0.0
payoff,2.0
otro,0.0
videoed,0.0
kommonsentsjane,0.0
pardon,-4.0
isaid,0.0
electricity,0.0
scold,3.0
otra,-2.0
crooner,2.0
lord,0.0
herbicide,0.0
sinking,-2.0
digit,0.0
hormone,-2.0
shielding,0.0
navigating,0.0
deli,2.0
saskatchewan,0.0
regional,1.0
trojan,2.0
bratislava,0.0
lotería,0.0
bild,0.0
foul,-2.0
rogan,0.0
stabbed,0.0
screaming,2.0
petras,0.0
internally,0.0
prize,6.0
probiotic,0.0
broiles,0.0
cancela,0.0
wednesday,-2.0
solid,0.0
sustituyen,0.0
crotch,2.0
calendar,-6.0
succession,2.0
reliable,0.0
croatian,0.0
charter,-2.0
specially,1.0
tired,-3.0
miller,-3.0
bacon,-1.0
pulse,-2.0
budget,-3.0
270,-2.0
elegant,0.0
second,-4.0
275,0.0
shrugging,0.0
loathing,2.0
newsbud,-2.0
ymous,0.0
brexit,7.0
battleground,0.0
reopens,-2.0
ruthless,1.0
tajikistan,2.0
cooking,-2.0
relives,2.0
schism,2.0
lawmaker,0.0
decry,-1.0
solarcity,-2.0
salbuch,0.0
fossil,1.0
resilient,0.0
increasing,-1.0
admiral,-2.0
mogg,2.0
pioneering,0.0
specialist,0.0
insinuation,0.0
hero,-4.0
avert,0.0
reporter,-6.0
herb,-2.0
error,0.0
brainwashed,0.0
herd,-3.0
chine,0.0
lgbt,3.0
redlucy,0.0
china,1.0
dorm,2.0
affiliated,0.0
substance,-1.0
uplifting,-2.0
verhältnis,0.0
k,-4.0
auf,-3.0
eastenders,0.0
controversy,5.0
сми,0.0
überlegen,0.0
military,0.0
родригес,0.0
climber,4.0
salesa,0.0
criticism,-1.0
golden,0.0
9m,4.0
divide,5.0
magically,0.0
criticise,1.0
oathkeepers,0.0
explained,1.0
hamas,3.0
brought,2.0
moneysupermarket,0.0
shoddy,0.0
quadruple,2.0
stern,2.0
unis,-1.0
cocaine,-2.0
univ,0.0
explainer,0.0
unit,-2.0
cheating,-2.0
dna,-3.0
spoke,-2.0
dnc,-4.0
browse,2.0
insecurity,2.0
dni,0.0
occupying,-2.0
music,-1.0
заседание,0.0
passport,2.0
mystic,0.0
strike,2.0
musik,0.0
vandalizes,-2.0
playboy,4.0
paperwork,0.0
holy,0.0
relax,-3.0
successful,0.0
brings,2.0
holt,0.0
yahoo,0.0
hurt,2.0
99,-3.0
glass,-3.0
outskirt,0.0
91,0.0
90,-2.0
hole,-2.0
hold,-3.0
95,-2.0
chaos,0.0
97,-2.0
96,2.0
locked,1.0
cedarwood,-2.0
pursue,0.0
blade,0.0
plunged,2.0
locker,2.0
shelve,0.0
apoplexy,-1.0
radicalisation,2.0
example,-2.0
moralmatters,0.0
sabrina,-2.0
deputy,-2.0
wang,1.0
wank,0.0
household,-1.0
artillery,-3.0
wann,0.0
julissa,2.0
currency,-1.0
geben,0.0
bucht,0.0
caution,0.0
reviewing,0.0
want,-1.0
organizer,0.0
reimagined,2.0
absolute,0.0
turn,7.0
complaining,0.0
dimple,-1.0
travel,0.0
drying,2.0
damage,4.0
hoi,0.0
machine,-6.0
hot,5.0
canvey,0.0
hop,0.0
significance,0.0
place,5.0
madagascar,2.0
salmond,2.0
fanaticism,0.0
misys,0.0
gaming,2.0
beauty,5.0
swing,0.0
1178,0.0
wrong,1.0
destined,1.0
chump,-2.0
italy,-3.0
eugenics,0.0
outcry,-2.0
hurricaine,0.0
tourism,2.0
testify,-2.0
sioux,-2.0
effective,3.0
scourge,0.0
attracts,-2.0
romped,0.0
amaya,2.0
deutsche,2.0
fictional,-2.0
sickening,-2.0
baggage,0.0
unlawfully,2.0
aping,2.0
lindbergh,2.0
democratic,-4.0
frontlines,2.0
wing,-6.0
backdrop,0.0
wine,4.0
restriction,0.0
